аваюк аваюки
альтернативный альтернативные
белоснежок белоснежке
богатый богатой
векстарший векстаршая
власть власти
говорить говорят
два двумя
дом доме
другой других
единственный единственная
жанр жанры
жениться женился
игнорировать игнорирует
изгой изгоем
измениться изменилась
изображение изображения
июнь июня
королева королевы
который которые
лицо лице
март марта
мачеха мачехи
младший младшая
молодой молодыми
название названия
называть называют
новый новой
норма норм
обычный обычной
они ими
пользователь пользователя
пора пор
послать пошли
появление появлению
притиара притиар
пытаться пытается
рада рады
редактированиюпредпросмотрскрытьпример редактированиюпредпросмотрскрытьпримеры
рыцарь рыцарей рыцарями
сайт сайта
сайтема сайтемы
сводный сводными
семья семье семью
сила силами
слух слухи
список списках
сталкиваться сталкивается
старший старшая
стихия стихий
тайтланазадтва тайтланазадтвой
тема темы
тот та тех
февраль февраля
чей чьей
человек людьми
человекать человекав
чувствовать чувствует
шестнадцатилетний шестнадцатилетней
школа школе
школьница школьницей
эпизод эпизода эпизоды
январь января
