адаптировать адаптированную адаптированные
азиатский азиатские
академия академию
альтернативный альтернативные
ангстовый ангстовая
бедный бедной
богатый богатых
версия версии
весь всему
влиятельный влиятельных
влюбить влюблена
воля волею
выпячиваться выпячиваются
выход выхода
герой героев
год гг года лет
дело деле
долгий долгое
дорама дорамы
дорамщик дорамщики
досмотреть досмотрела
другой другая других
жанр жанры
желать желая
заступиться заступившись
затягивать затягивает
знаменитый знаменитой
зрение зрения
изгой изгоем
издевательство издевательств
изображение изображения
интересный интересен
история историю
июль июля
казаться кажется
комедийный комедийной
который которая
красный красную
лидер лидера
май мая
маленький меньше
манга манге манги
март марта
место местами
метка метку
мечтать мечтает
мешать мешает
момент моменты
мрачный мрачные
название названия
написание написании
насмешка насмешек
неприятность неприятности
обычный обычная
основный основными
остаться оставшиеся
откладывать откладывала
отличиликать отличиличь
отношение отношений
парень парней парни
патёрн патернами
переживаться переживается
переставить переставлены
повезти повезло
подруга подругу
покорять покоряет
полный полного
получать получает
пользователь пользователя
понравиться понравилась понравился
попасть попала
поступок поступки
престижный престижную
придумать придумали
психология психологии
ранний раньше
расценивать расцениваешь
редактированиюпредпросмотрскрытьпример редактированиюпредпросмотрскрытьпримеры
ремейк ремейков
романтический романтических
сайт сайта
сайтема сайтемы
сам сама самом
самый самые самых
светлый светлой
свой своим
семья семьи
серия серию
сиквел сиквелу
случай случая
смотреть смотришь
сниматься снималось
снять сняли
список списках
становиться становится
страна стран страны
сценарий сценария
сценарист сценаристы
считать считая
сюжетный сюжетные
тема темы
тот тех
точка точки
турция турции
тяжесть тяжестью
упорство упорством
участвовать участвовала
ученик учеников
финальный финальную
ход ходы
цветок цветы
цветочек цветочкам
цукас цукасу
цукусить цукуси
человеква человекв
школа школе школы
эйток эйтоку
эндингназадтва эндингназадтвой
эпизод эпизода эпизоды
