акаин акаину
альтернативный альтернативные
апрель апреля
безумный безумным
бросать бросает
бросить бросил
великий великого великой величайшего величайшую
возвращаться возвращайся
враг врагам
время времен
всемирный всемирным
герой героя
год гг года
далёкий дальше
два две
детство детства
добыть добудет
дозор дозора
другой других
душа душу
единственный единственным
жанр жанры
завидовать завидую
заслать зашли
захватывать захватывающих
изменение изменениям
изображение изображения
иметь имея
импеть импел
импетя импеть
казнь казнью
команда команду
комедийный комедийные
конец конца
король короля
лайна лайн
линия линии
лицензировать лицензировано
март марта
мечтать мечтая
мир мира мире
море моря
название названием названия
начало начала
невыносимыназадтва невыносимыназадтвой
невыносимыназадтво невыносимыназадтва
неделя недели
новый новым
ожидание ожидания
открыть открыли
отправляться отправляется
переоценить переоцененное
пиковый пиковая
пират пирата пиратов пиратом
пиратский пиратским
подростоканим подростоканиме
подростоканить подростоканим
поиск поиски
положить положило
пользователь пользователя
порядок порядка
последний последние
последующий последующее
правительство правительством
приключение приключениям приключениях
причина причины
проплыть проплывшим
просмотр просмотра
путешествовать путешествуют
ребёнок детьми
редактированиюпредпросмотрскрытьпример редактированиюпредпросмотрскрытьпримеры
роджер роджера
сайт сайта
сайтема сайтемы
самый самое
свой своего свои
серия серии
сила сил
сильный сильным
скучать скучаем
следовать следуя
слово слова
собирать собирает
сокровище сокровища
список списках
стать станет
стоп стопа
стопа стопам
студия студии
тот тому
ты тебе
хороший лучшее лучшие
человеква человекв
эпизод эпизода эпизоды
эпизодно эпизодна
эпопея эпопею
эра эры
