адаптировать адаптированные
альтернативный альтернативные
враждовать враждующих
временназадтва временназадтвой
временназадтво временназадтва
длительность длительностью
дорама дорамы
другой других
думать думает
жанр жанры
земля земли
изображение изображения
исчезнуть исчезнув
июль июля
качество качестве
клан клана клану
кон кону
который которому которым которых
лицензировать лицензировано
лицо лица
март марта
метать метал
название названия
некий неким
непримиримый непримиримо
обладание обладания
опенинга опенингах
перестать перестанет
победитель победителем
поддерживать поддерживает
пользователь пользователя
постоянный постоянная
посылать посылают
правительство правительства
представитель представителей
проиграть проигравший
противостояние противостояния
редактированиюпредпросмотрскрытьпример редактированиюпредпросмотрскрытьпримеры
рождество рождества
сайт сайта
сайтема сайтемы
самый самое
свиток свитком
следующий следующего
список списках
сразиться сразились
средневековый средневековая
стереотипный стереотипное
студия студии
сын сына
тема темы
токугава токугавы
тот те тому
удаться удастся
февраль февраля
фильм фильмы
хороший лучшее
христов христова
человеква человекв
эпизод эпизода эпизоды
январь января
