акиюк акиюки
альтернативный альтернативные
артефакт артефактами
блондинка блондинку
брат братом
быть будут
весь всеми
волшебница волшебниц
волшебный волшебную
восходящий восходящее
время временем
вселенная вселенной
выздоравливать выздоравливая
высокий высокую
вытекать вытекающими
говорящий говорящего
гол голов
горностай горностая
давать дают
девочка девочек
дело деле
должный должен
драгоценный драгоценное драгоценные
древний древними
другой других
единственный единственные
жанр жанры
живить живим
жить живущей
заканчиваться заканчивается
земля землю
идти шло
излишний излишнюю
изображение изображения
иметь имеет
имя имени
интеллектуальный интеллектуальное
контактировать контактирующим
котик котиками
который которые которых
кукла куклу
маг магом
мадока мадокой
макатец макатцу
мангун мангуна
место местами
мир мире
младшеклассница младшекласснице
монстр монстрами монстров
надеяться надеюсь
название названия
наноха нанохе нанохи наноху
начинать начинают
новый новую
ноябрь ноября
оба обоих
обнаружить обнаруженные
обычный обычная
один одним одно
озвучить озвучено
оказываться оказывается
они ними
опасный опасными
охотиться охотится
палочка палочку
параллельный параллельной
парочка парочкой
повседневный повседневная
подозревать подозревая
показывать показывает
получилосьвобщий получилосьвобщем
получить получит
пользователь пользователя
понравитсяназадтва понравитсяназадтвой
превращать превращая
прибыть прибыл
пытаться пытались
ранить раненного раненный
рассказывать рассказывает
редактированиюпредпросмотрскрытьпример редактированиюпредпросмотрскрытьпримеры
родитель родителями
ругать ругали
сайт сайта
сайтема сайтемы
сакура сакурой
сверхъестественный сверхъестественные
свой своими
семя семена
сестра сестрой
сетяхлиричный сетяхлиричная
сила силы
спасать спасает
список списках
старший старшими
существо существам
такамач такамачи
такой таких
тортик тортиками
уважать уважаю
февраль февраля
финал финале
форма форме
хороший лучшая
человеква человекв
эпизод эпизода эпизоды
эротика эротику
юный юно
являться являются
